date,log_ret
1992-10-16,-0.2138329
1992-10-19,-5.156874
1992-10-20,-1.137077
1992-10-21,-4.772435
1992-10-22,-6.055509
1992-10-23,1.046977
1992-10-26,-11.7628
1992-10-27,-8.929562
1992-10-28,1.874739
1992-10-29,5.64152
1992-10-30,4.035732
1992-11-02,-7.5984
1992-11-03,0.6945242
1992-11-04,-2.282185
1992-11-05,-1.135434
1992-11-06,-1.107554
1992-11-09,-4.60854
1992-11-10,-4.764974
1992-11-11,-0.3914124
1992-11-12,-0.2380115
1992-11-13,-2.642516
1992-11-16,-7.396258
1992-11-17,-2.311369
1992-11-18,5.272723
1992-11-19,-0.7216188
1992-11-20,-1.381592
1992-11-23,-0.9592049
1992-11-24,6.657633
1992-11-25,17.69953
1992-11-26,5.514236
1992-11-27,6.784436
1992-11-30,12.87909
1992-12-01,-5.811191
1992-12-02,-0.9288556
1992-12-03,2.873554
1992-12-04,4.49835
1992-12-07,2.971868
1992-12-08,-4.301399
1992-12-09,-7.920735
1992-12-10,-117.7035
1992-12-11,9.215896
1992-12-14,-1.896576
1992-12-15,-3.339839
1992-12-16,0.911551
1992-12-17,1.772271
1992-12-18,-0.103491
1992-12-21,2.586988
1992-12-22,-1.422621
1992-12-23,0.06175284
1992-12-24,2.355231
1992-12-25,0.3106386
1992-12-28,-0.6989613
1992-12-29,1.649686
1992-12-30,1.866205
1992-12-31,1.484009
1993-01-03,4.825517
1993-01-04,3.341674
1993-01-05,5.179026
1993-01-06,-0.1076434
1993-01-07,2.117144
1993-01-08,2.411259
1993-01-11,6.501071
1993-01-12,-0.74515
1993-01-13,1.545079
1993-01-14,3.249747
1993-01-15,-0.9044829
1993-01-18,1.213622
1993-01-19,-3.368239
1993-01-20,4.857026
1993-01-21,2.778713
1993-01-22,2.046921
1993-01-27,5.444639
1993-01-28,-1.282551
1993-01-29,3.708708
1993-02-01,8.555361
1993-02-02,3.130048
1993-02-03,-0.6223254
1993-02-04,4.737102
1993-02-05,-1.38505
1993-02-08,4.580256
1993-02-09,2.426801
1993-02-10,-2.111424
1993-02-11,-3.925159
1993-02-12,1.119539
1993-02-15,4.460813
1993-02-16,-1.987218
1993-02-17,1.171373
1993-02-18,0.6425334
1993-02-19,1.872484
1993-02-22,-1.983071
1993-02-23,-4.441675
1993-02-24,-7.263485
1993-02-25,8.775097
1993-02-26,-4.469313
1993-03-01,-7.531443
1993-03-02,1.18202
1993-03-03,-2.008359
1993-03-04,-4.136771
1993-03-05,-4.855225
1993-03-08,6.787203
1993-03-09,-4.713781
1993-03-10,5.517479
1993-03-11,3.84406
1993-03-12,-0.4980582
1993-03-15,-5.710662
1993-03-16,2.483433
1993-03-17,-2.443029
1993-03-18,-0.5658527
1993-03-19,-0.729291
1993-03-22,-9.893151
1993-03-23,-4.341538
1993-03-24,-2.407428
1993-03-25,1.660461
1993-03-26,5.366006
1993-03-29,-5.305896
1993-03-30,-0.09513992
1993-03-31,-2.13684
1993-04-01,1.568488
1993-04-02,-0.7584403
1993-04-05,-0.294125
1993-04-06,7.82002
1993-04-07,3.439204
1993-04-08,10.1786
1993-04-09,-0.6947389
1993-04-12,-2.40313
1993-04-13,5.353715
1993-04-14,-1.662457
1993-04-15,0.8009228
1993-04-16,-2.890164
1993-04-19,0.7484418
1993-04-20,0.8103742
1993-04-21,-0.4932561
1993-04-22,1.984765
1993-04-23,-0.7031188
1993-04-26,3.199854
1993-04-27,1.045955
1993-04-28,0.7701148
1993-04-29,-2.168219
1993-04-30,0.6283852
1993-05-01,-1.96097
1993-05-02,-0.2109267
1993-05-03,0.1191631
1993-05-04,-7.302795
1993-05-05,-0.4401817
1993-05-06,-5.394347
1993-05-07,2.466065
1993-05-10,-4.928524
1993-05-11,0.04997461
1993-05-12,1.493328
1993-05-13,3.422308
1993-05-14,-0.5400363
1993-05-17,-4.023705
1993-05-18,0.1043082
1993-05-19,0.2620381
1993-05-20,0.9754158
1993-05-21,-2.159497
1993-05-24,-9.222199
1993-05-25,-0.953762
1993-05-26,-1.342749
1993-05-27,-2.62316
1993-05-28,0.8501644
