date,log_ret
2007-06-28,-4.607981
2007-06-29,-2.478021
2007-07-02,-0.1707052
2007-07-03,1.965046
2007-07-04,-2.340451
2007-07-05,-5.663907
2007-07-06,4.770404
2007-07-09,2.948333
2007-07-10,-1.202607
2007-07-11,0.376711
2007-07-12,0.7112097
2007-07-13,0.08380211
2007-07-16,-3.249782
2007-07-17,2.448965
2007-07-18,0.4717524
2007-07-19,-0.0149713
2007-07-20,4.239806
2007-07-23,4.548677
2007-07-24,0.1113239
2007-07-25,2.236332
2007-07-26,1.115374
2007-07-27,0.09175026
2007-07-30,2.36686
2007-07-31,1.13316
2007-08-01,-3.88757
2007-08-02,3.339729
2007-08-03,3.590817
2007-08-06,2.270489
2007-08-07,0.4363359
2007-08-08,-1.202232
2007-08-09,2.312345
2007-08-10,-1.065039
2007-08-13,-0.1162167
2007-08-14,1.563169
2007-08-15,0.06628922
2007-08-16,-1.613574
2007-08-17,-2.04018
2007-08-20,5.443937
2007-08-21,1.770766
2007-08-22,1.575788
2007-08-23,1.65381
2007-08-24,1.577276
2007-08-27,0.488877
2007-08-28,0.16427
2007-08-29,-1.534051
2007-08-30,1.333155
2007-08-31,1.054855
2007-09-03,2.283791
2007-09-04,-1.091713
2007-09-05,0.05445943
2007-09-06,0.9055967
2007-09-07,-2.190278
2007-09-10,1.544819
2007-09-11,-4.821856
2007-09-12,1.525553
2007-09-13,2.788248
2007-09-14,0.880417
2007-09-17,1.865477
2007-09-18,-0.4021598
2007-09-19,-1.056717
2007-09-20,1.386291
2007-09-21,-0.4892822
2007-09-24,0.834097
2007-09-25,-1.080922
2007-09-26,-1.73087
2007-09-27,1.235385
2007-09-28,2.782583
2007-10-08,1.287722
2007-10-09,0.4023284
2007-10-10,0.1730377
2007-10-11,1.298656
2007-10-12,-0.3976591
2007-10-15,1.45746
2007-10-16,0.9531086
2007-10-17,-0.9072543
2007-10-18,-3.643277
2007-10-19,-0.03009846
2007-10-22,-2.550572
2007-10-23,1.22423
2007-10-24,0.8612485
2007-10-25,-4.656118
2007-10-26,1.137533
2007-10-29,2.082956
2007-10-30,1.579763
2007-10-31,1.638906
2007-11-01,-1.475353
2007-11-02,-2.388597
2007-11-05,-2.079231
2007-11-06,-0.8009138
2007-11-07,0.620164
2007-11-08,-4.921572
2007-11-09,-1.048934
2007-11-12,-1.243083
2007-11-13,-0.786695
2007-11-14,4.098686
2007-11-15,-1.26686
2007-11-16,-1.4561
2007-11-19,-0.2647451
2007-11-20,1.489723
2007-11-21,-1.425672
2007-11-22,-4.606638
2007-11-23,1.735258
2007-11-26,-1.161542
2007-11-27,-1.870054
2007-11-28,-1.333367
2007-11-29,4.074395
2007-11-30,-2.185174
2007-12-03,0.7415324
2007-12-04,1.1777
2007-12-05,2.792173
2007-12-06,0.1028478
2007-12-07,1.404081
2007-12-10,1.812547
2007-12-11,0.1253704
2007-12-12,-1.225573
2007-12-13,-3.877137
2007-12-14,1.893191
2007-12-17,-2.447722
2007-12-18,-0.5652835
2007-12-19,2.380997
2007-12-20,1.821059
2007-12-21,1.275483
2007-12-24,2.042562
2007-12-25,0.1857264
2007-12-26,0.920074
2007-12-27,1.9281
2007-12-28,-0.546621
2008-01-02,0.873425
2008-01-03,0.6834404
2008-01-04,1.130065
2008-01-07,1.321367
2008-01-08,-0.5149479
2008-01-09,1.53856
2008-01-10,1.034751
2008-01-11,0.4748806
2008-01-14,0.5705598
2008-01-15,-0.6179465
2008-01-16,-3.405562
2008-01-17,-2.577562
2008-01-18,0.9063066
2008-01-21,-5.090775
2008-01-22,-7.920822
2008-01-23,4.548846
2008-01-24,1.041768
2008-01-25,0.994007
2008-01-28,-7.048264
2008-01-29,0.6361961
2008-01-30,-1.085864
2008-01-31,-1.934462
2008-02-01,-1.054366
2008-02-04,7.94742
2008-02-05,-0.5731406
2008-02-13,-2.172009
2008-02-14,1.323613
2008-02-15,-1.381145
2008-02-18,2.009055
2008-02-19,2.210377
2008-02-20,-2.256611
2008-02-21,-0.6681851
2008-02-22,-3.629237
2008-02-25,-3.957567
2008-02-26,-0.09407536
2008-02-27,2.714223
2008-02-28,-0.3824303
2008-02-29,1.129241
2008-03-03,2.455199
2008-03-04,-2.527959
2008-03-05,-0.9124922
2008-03-06,1.209195
2008-03-07,-1.361188
2008-03-10,-4.2002
2008-03-11,0.2161671
2008-03-12,-3.006341
2008-03-13,-2.601982
2008-03-14,-0.9833952
2008-03-17,-4.742645
2008-03-18,-5.210753
2008-03-19,3.264712
2008-03-20,2.86357
2008-03-21,0.8955662
2008-03-24,-4.579441
2008-03-25,1.254193
2008-03-26,0.219945
2008-03-27,-4.31866
2008-03-28,4.415436
2008-03-31,-3.31163
2008-04-01,-5.634728
2008-04-02,-0.9780146
2008-04-03,2.85405
2008-04-07,5.206791
2008-04-08,1.169477
2008-04-09,-5.356206
2008-04-10,1.789416
2008-04-11,0.769658
2008-04-14,-6.762083
2008-04-15,1.31947
2008-04-16,-2.523123
2008-04-17,-3.121761
2008-04-18,-3.428111
2008-04-21,-0.151375
2008-04-22,0.8754091
2008-04-23,4.666025
2008-04-24,8.881312
2008-04-25,0.7540712
2008-04-28,-1.962831
2008-04-29,1.273383
2008-04-30,4.710762
2008-05-05,2.412125
2008-05-06,-1.112986
2008-05-07,-4.841725
2008-05-08,2.678063
2008-05-09,-1.181978
2008-05-12,0.6680532
2008-05-13,-1.372528
2008-05-14,3.170894
2008-05-15,-0.6989038
2008-05-16,-0.3036451
2008-05-19,-0.5617713
2008-05-20,-5.332488
2008-05-21,1.927769
2008-05-22,-1.911062
2008-05-23,-0.9825993
2008-05-26,-3.205253
2008-05-27,0.4759364
2008-05-28,2.758699
2008-05-29,-2.628198
2008-05-30,0.8470338
2008-06-02,0.4007102
2008-06-03,-0.3237599
2008-06-04,-1.876601
2008-06-05,-0.9854083
2008-06-06,-0.6467079
2008-06-10,-8.455975
2008-06-11,-2.088037
2008-06-12,-1.788662
2008-06-13,-3.480376
2008-06-16,-0.9063751
2008-06-17,-3.781694
2008-06-18,5.095078
2008-06-19,-7.573943
2008-06-20,2.724458
2008-06-23,-2.118311
2008-06-24,2.197236
2008-06-25,4.041461
2008-06-26,0.3821564
2008-06-27,-5.690408
